epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6441,2.34357,3.86269,2.15569,0.01447,0.5,0.01183,0.00389,2.35911,inf,2.29576,0.00021671,0.00021671,0.00021671
2,40.6206,1.88587,2.8512,1.81551,0.0207,0.6875,0.02627,0.00933,2.23792,inf,2.56552,0.000445634,0.000445634,0.000445634
3,56.6246,1.8362,2.66304,1.73507,0.00089,0.13098,0.00052,0.00014,nan,nan,nan,0.000669937,0.000669937,0.000669937
4,73.2625,1.98468,2.53039,1.83917,0.00047,0.0625,0.00026,9e-05,nan,nan,nan,0.00088962,0.00088962,0.00088962
5,88.7406,1.89303,2.42028,1.81139,0.0001,0.00815,5e-05,2e-05,nan,nan,nan,0.00110468,0.00110468,0.00110468
6,104.405,1.95865,2.32646,1.91154,7e-05,0.00543,4e-05,1e-05,nan,nan,nan,0.00131512,0.00131512,0.00131512
7,123.754,1.94726,2.25088,1.94531,7e-05,0.00543,4e-05,1e-05,nan,nan,nan,0.00152094,0.00152094,0.00152094
8,139.996,1.97244,2.54072,1.98818,0.00421,0.05707,0.00108,0.00039,nan,nan,nan,0.00155148,0.00155148,0.00155148
9,161.258,1.88211,2.40283,1.86668,0.0009,0.11522,0.00053,0.00016,nan,nan,nan,0.00153497,0.00153497,0.00153497
10,178.759,1.87831,2.2784,1.89509,0.00749,0.45707,0.00709,0.0023,2.36696,inf,2.56074,0.00151847,0.00151847,0.00151847
11,195.442,1.88547,2.20576,1.89313,0.04548,0.32989,0.03573,0.01092,2.33718,45.953,2.62831,0.00150197,0.00150197,0.00150197
12,212.932,1.84728,2.16071,1.83507,0.02438,0.37174,0.01806,0.00634,2.32368,20.9786,2.38866,0.00148546,0.00148546,0.00148546
13,229.545,1.72596,2.08474,1.79851,0.03502,0.08152,0.00685,0.00225,3.37798,12.7257,3.34329,0.00146896,0.00146896,0.00146896
14,245.171,1.81734,2.11796,1.82563,0.06678,0.03967,0.00705,0.00258,3.27504,6.28255,3.89604,0.00145246,0.00145246,0.00145246
15,260.923,1.84699,2.17823,1.88405,0.27814,0.19565,0.17083,0.05325,2.60847,3.37679,2.6713,0.00143595,0.00143595,0.00143595
16,284.953,1.70994,1.97118,1.75176,0.40709,0.3413,0.28619,0.08251,2.32932,3.14907,2.47072,0.00141945,0.00141945,0.00141945
17,303.378,1.69507,1.88111,1.77829,0.27238,0.40543,0.27462,0.08734,2.27725,2.77226,2.40347,0.00140295,0.00140295,0.00140295
18,321.586,1.76908,1.89852,1.77524,0.28725,0.32323,0.23077,0.0696,2.51467,2.642,2.48701,0.00138644,0.00138644,0.00138644
19,339.759,1.71613,1.80815,1.75321,0.30121,0.2865,0.20115,0.05999,2.53326,2.61784,2.49214,0.00136994,0.00136994,0.00136994
20,355.782,1.61207,1.74263,1.70116,0.37036,0.35815,0.31427,0.09795,2.31239,2.24447,2.41699,0.00135344,0.00135344,0.00135344
21,375.588,1.62465,1.85878,1.72555,0.345,0.39837,0.30989,0.07985,2.60182,2.18785,2.67878,0.00133693,0.00133693,0.00133693
22,393.456,1.65195,1.72086,1.73124,0.47916,0.39891,0.37538,0.11462,2.47424,2.19347,2.61669,0.00132043,0.00132043,0.00132043
23,410.416,1.66434,1.76253,1.71651,0.28747,0.4133,0.25409,0.07158,2.65292,2.91458,2.79355,0.00130393,0.00130393,0.00130393
24,426.389,1.63809,1.67809,1.72653,0.35917,0.4038,0.28492,0.07905,2.60482,2.53887,2.78465,0.00128742,0.00128742,0.00128742
25,442.8,1.60514,1.59012,1.67033,0.27321,0.3551,0.21601,0.05883,2.60822,2.99698,2.74164,0.00127092,0.00127092,0.00127092
26,458.6,1.55055,1.51072,1.64349,0.45729,0.37989,0.34956,0.12413,2.30692,2.44909,2.38794,0.00125442,0.00125442,0.00125442
27,480.524,1.56696,1.53813,1.66475,0.37671,0.42663,0.35736,0.1264,2.24432,2.30215,2.28502,0.00123791,0.00123791,0.00123791
28,500.327,1.54345,1.51777,1.64437,0.44712,0.33913,0.29842,0.10074,2.37058,2.55374,2.40429,0.00122141,0.00122141,0.00122141
29,521.994,1.51213,1.47357,1.62756,0.53888,0.48261,0.44506,0.15161,2.34729,2.05884,2.4006,0.00120491,0.00120491,0.00120491
30,548.454,1.51979,1.43064,1.60228,0.69509,0.33098,0.37016,0.11127,2.45381,2.32031,2.54591,0.0011884,0.0011884,0.0011884
31,569.272,1.47562,1.38483,1.56444,0.45203,0.38261,0.38909,0.12148,2.39978,2.26399,2.49318,0.0011719,0.0011719,0.0011719
32,591.871,1.44819,1.30878,1.5775,0.50239,0.40091,0.34625,0.09261,2.6253,2.47419,2.73656,0.0011554,0.0011554,0.0011554
33,617.459,1.48053,1.35164,1.56876,0.52296,0.41634,0.40025,0.1359,2.43113,2.17191,2.59049,0.00113889,0.00113889,0.00113889
34,643.862,1.52271,1.35709,1.60926,0.48925,0.39728,0.37701,0.11072,2.51127,2.03484,2.62387,0.00112239,0.00112239,0.00112239
35,664.133,1.37109,1.23214,1.51437,0.4212,0.38357,0.2872,0.08248,2.62293,2.16696,2.69188,0.00110589,0.00110589,0.00110589
36,690.233,1.44222,1.28602,1.54997,0.52494,0.43804,0.36531,0.09919,2.68186,1.99867,2.85484,0.00108938,0.00108938,0.00108938
37,706.695,1.38615,1.20376,1.49729,0.4932,0.5038,0.44993,0.16041,2.33468,1.86071,2.45032,0.00107288,0.00107288,0.00107288
38,727.851,1.3934,1.21723,1.5276,0.56,0.49636,0.46748,0.15563,2.32369,1.7915,2.40695,0.00105638,0.00105638,0.00105638
39,750.134,1.38784,1.23731,1.53041,0.48181,0.43209,0.37185,0.11043,2.55013,2.07479,2.6713,0.00103987,0.00103987,0.00103987
40,769.825,1.35324,1.1612,1.50182,0.57688,0.48641,0.48965,0.16711,2.209,2.0328,2.38057,0.00102337,0.00102337,0.00102337
41,791.751,1.34726,1.21328,1.48337,0.49491,0.55458,0.45524,0.12804,2.51568,1.92033,2.63401,0.00100687,0.00100687,0.00100687
42,813.201,1.37168,1.13897,1.48722,0.49458,0.43857,0.37663,0.12488,2.44462,2.34561,2.53082,0.000990365,0.000990365,0.000990365
43,835.488,1.34501,1.19063,1.50386,0.51788,0.41196,0.3883,0.12837,2.45096,2.4794,2.58061,0.000973861,0.000973861,0.000973861
44,858.118,1.27066,1.08669,1.4731,0.39901,0.3788,0.32373,0.10187,2.52728,2.52072,2.68253,0.000957358,0.000957358,0.000957358
45,879.366,1.32491,1.12474,1.47405,0.3735,0.32826,0.26854,0.07095,2.71975,2.73379,2.8474,0.000940855,0.000940855,0.000940855
46,900.86,1.34832,1.12689,1.47516,0.43378,0.44414,0.36224,0.0977,2.68819,2.13088,2.84342,0.000924352,0.000924352,0.000924352
47,919.208,1.31571,1.2014,1.51723,0.53697,0.42137,0.3993,0.12326,2.53714,2.00719,2.64727,0.000907848,0.000907848,0.000907848
48,939.915,1.29774,1.17636,1.44435,0.5538,0.40784,0.4072,0.15085,2.32793,1.98608,2.46178,0.000891345,0.000891345,0.000891345
49,956.84,1.26059,1.01861,1.42668,0.45577,0.46081,0.41135,0.12954,2.45678,1.96087,2.58315,0.000874842,0.000874842,0.000874842
50,978.154,1.22801,1.01589,1.37966,0.53631,0.46576,0.43807,0.13508,2.4228,2.00471,2.5571,0.000858338,0.000858338,0.000858338
51,994.716,1.24459,1.05016,1.4194,0.50769,0.47775,0.43037,0.13028,2.54691,1.91855,2.73797,0.000841835,0.000841835,0.000841835
52,1015.53,1.20292,0.97197,1.40613,0.5239,0.45658,0.41384,0.12884,2.47842,2.09521,2.62144,0.000825332,0.000825332,0.000825332
53,1036.23,1.19825,0.9638,1.38969,0.58352,0.4236,0.41575,0.1356,2.43116,2.13225,2.55945,0.000808828,0.000808828,0.000808828
54,1059.73,1.20272,0.98713,1.40958,0.55289,0.45435,0.42447,0.14589,2.4725,2.13231,2.65329,0.000792325,0.000792325,0.000792325
55,1075.94,1.18768,0.94551,1.32836,0.50222,0.39837,0.37709,0.11062,2.69341,2.3766,2.86503,0.000775822,0.000775822,0.000775822
56,1097.44,1.1387,0.888,1.31629,0.55363,0.5154,0.48523,0.15349,2.43654,1.81429,2.63698,0.000759318,0.000759318,0.000759318
57,1113.69,1.14552,0.88284,1.33203,0.60579,0.44799,0.44638,0.15713,2.37189,1.97596,2.5383,0.000742815,0.000742815,0.000742815
58,1134.26,1.15519,0.91047,1.32761,0.50336,0.36196,0.32583,0.09147,2.71699,2.25619,2.99368,0.000726312,0.000726312,0.000726312
59,1154.82,1.14344,0.90512,1.3301,0.53507,0.44076,0.42885,0.14753,2.38085,2.09787,2.60307,0.000709809,0.000709809,0.000709809
60,1170.14,1.1076,0.8923,1.36118,0.49421,0.33989,0.33101,0.09893,2.71464,2.55228,2.93386,0.000693305,0.000693305,0.000693305
61,1191.56,1.10048,0.81488,1.30965,0.56849,0.40163,0.40728,0.13503,2.51278,2.08738,2.65842,0.000676802,0.000676802,0.000676802
62,1212.77,1.14306,0.84002,1.3539,0.604,0.45652,0.46787,0.16048,2.3444,1.7734,2.50657,0.000660299,0.000660299,0.000660299
63,1234.64,1.05865,0.79464,1.26533,0.47245,0.43098,0.38504,0.11157,2.60793,1.88025,2.82013,0.000643795,0.000643795,0.000643795
64,1255.26,1.06781,0.85488,1.31988,0.5182,0.43428,0.41215,0.12998,2.54327,1.94838,2.79817,0.000627292,0.000627292,0.000627292
65,1275.91,1.01289,0.79796,1.26386,0.52268,0.44617,0.43926,0.14695,2.44063,1.985,2.65295,0.000610789,0.000610789,0.000610789
66,1298.54,0.98641,0.77281,1.23396,0.55473,0.38579,0.38799,0.13816,2.42596,2.37563,2.59975,0.000594286,0.000594286,0.000594286
67,1318.81,1.01969,0.78274,1.26604,0.48481,0.48261,0.4029,0.14004,2.38744,2.3187,2.60336,0.000577782,0.000577782,0.000577782
68,1339.24,1.00151,0.76301,1.24295,0.51151,0.44891,0.37742,0.13205,2.36937,2.31375,2.62285,0.000561279,0.000561279,0.000561279
69,1360.31,0.9542,0.77772,1.21705,0.57108,0.41413,0.39205,0.13869,2.35667,2.29583,2.59201,0.000544776,0.000544776,0.000544776
70,1382.28,0.98699,0.78299,1.23147,0.54861,0.40761,0.38778,0.13912,2.43009,2.26128,2.66591,0.000528272,0.000528272,0.000528272
71,1402.7,0.98223,0.72743,1.24977,0.49973,0.38641,0.36139,0.12004,2.56579,2.2912,2.79546,0.000511769,0.000511769,0.000511769
72,1423.3,0.96879,0.87283,1.24602,0.5776,0.42076,0.40275,0.15271,2.34144,2.19632,2.61861,0.000495266,0.000495266,0.000495266
73,1446.09,0.96166,0.70801,1.23125,0.47762,0.48039,0.41798,0.12385,2.58273,2.1833,2.94392,0.000478762,0.000478762,0.000478762
74,1468.22,0.91539,0.70418,1.21726,0.55626,0.42935,0.40407,0.12466,2.50007,2.45154,2.75858,0.000462259,0.000462259,0.000462259
75,1483.71,0.89858,0.73398,1.18101,0.54524,0.44239,0.38232,0.11799,2.57983,2.30692,2.85784,0.000445756,0.000445756,0.000445756
76,1502.9,0.87473,0.68687,1.16436,0.61035,0.44837,0.41613,0.143,2.422,2.23619,2.70368,0.000429253,0.000429253,0.000429253
77,1523.17,0.85586,0.65526,1.1521,0.59922,0.42989,0.40214,0.1411,2.44813,2.30362,2.71804,0.000412749,0.000412749,0.000412749
78,1538.68,0.96757,0.71484,1.21207,0.64052,0.43848,0.44172,0.15544,2.38847,2.23243,2.64913,0.000396246,0.000396246,0.000396246
79,1560.69,0.89623,0.68019,1.17398,0.55519,0.47948,0.44604,0.16146,2.36712,2.30318,2.59529,0.000379743,0.000379743,0.000379743
80,1576.81,0.83266,0.63736,1.14708,0.58267,0.39641,0.40706,0.143,2.40784,2.33119,2.64777,0.000363239,0.000363239,0.000363239
81,1592.47,0.8511,0.68219,1.13722,0.5996,0.38859,0.39056,0.13931,2.39942,2.34161,2.66346,0.000346736,0.000346736,0.000346736
82,1614.05,0.82442,0.66232,1.12691,0.5459,0.40773,0.39337,0.13795,2.40939,2.28178,2.678,0.000330233,0.000330233,0.000330233
83,1636.14,0.79849,0.62036,1.11619,0.64894,0.41685,0.42037,0.14449,2.39823,2.23227,2.72451,0.000313729,0.000313729,0.000313729
84,1656.79,0.81683,0.59791,1.12004,0.61178,0.4363,0.44824,0.15588,2.35317,2.1663,2.66963,0.000297226,0.000297226,0.000297226
85,1677.9,0.83036,0.6251,1.11383,0.60916,0.45376,0.45427,0.16977,2.2898,2.14779,2.55468,0.000280723,0.000280723,0.000280723
86,1694.03,0.7775,0.5708,1.08411,0.58408,0.46359,0.44868,0.15517,2.42217,2.08945,2.74495,0.00026422,0.00026422,0.00026422
87,1710.22,0.80221,0.61132,1.13759,0.61061,0.46953,0.46298,0.16231,2.37258,2.03674,2.75679,0.000247716,0.000247716,0.000247716
88,1732.4,0.76949,0.5585,1.09012,0.63279,0.43478,0.43611,0.14421,2.46355,2.18837,2.92069,0.000231213,0.000231213,0.000231213
89,1786.9,0.79581,0.56005,1.11835,0.6236,0.45707,0.44797,0.16373,2.34416,2.13575,2.74445,0.00021471,0.00021471,0.00021471
90,1803.72,0.78021,0.58609,1.09825,0.53255,0.43903,0.40415,0.13387,2.52518,2.22382,2.95172,0.000198206,0.000198206,0.000198206
91,1825.5,0.81691,0.56312,1.14977,0.54168,0.43515,0.39132,0.12444,2.57117,2.27249,3.01074,0.000181703,0.000181703,0.000181703
92,1844.96,0.74762,0.62878,1.11759,0.54473,0.42601,0.3975,0.14149,2.47927,2.31681,2.86456,0.0001652,0.0001652,0.0001652
93,1865.59,0.76012,0.53155,1.10992,0.52442,0.41545,0.40412,0.14266,2.48376,2.33872,2.87384,0.000148696,0.000148696,0.000148696
94,1888.65,0.77135,0.55019,1.13946,0.5259,0.46467,0.44221,0.1602,2.41745,2.20137,2.85494,0.000132193,0.000132193,0.000132193
95,1908.91,0.72483,0.53859,1.10456,0.54754,0.48851,0.45051,0.16323,2.39041,2.10043,2.85661,0.00011569,0.00011569,0.00011569
96,1930.85,0.73041,0.52538,1.11908,0.53586,0.48922,0.43392,0.14372,2.47163,2.11025,2.97199,9.91865e-05,9.91865e-05,9.91865e-05
97,1951.73,0.68009,0.48246,1.06262,0.58898,0.45707,0.43437,0.14155,2.50134,2.12521,3.01681,8.26832e-05,8.26832e-05,8.26832e-05
98,1974.97,0.73219,0.51725,1.08088,0.59493,0.43702,0.43393,0.14653,2.47291,2.12542,2.9763,6.61799e-05,6.61799e-05,6.61799e-05
99,1996.82,0.63809,0.46635,1.03941,0.60692,0.43533,0.4381,0.15069,2.44599,2.13311,2.93288,4.96766e-05,4.96766e-05,4.96766e-05
100,2017.07,0.68549,0.50477,1.06661,0.59181,0.43247,0.43869,0.15309,2.43219,2.14281,2.91164,3.31733e-05,3.31733e-05,3.31733e-05
